order_id,amount,profit,category,city,order_date,state,customername,customer_id,product_id,date_id
B-26026,1843,248,Electronics,Cleveland,2024-12-12,Ohio,Kelsey Castaneda,72,72.0,72
B-26026,1843,248,Electronics,Los Angeles,2023-04-06,California,Katherine Harris,73,73.0,73
B-26026,1603,361,Office Supplies,Cleveland,2024-12-12,Ohio,Kelsey Castaneda,74,74.0,74
B-26026,1603,361,Office Supplies,Los Angeles,2023-04-06,California,Katherine Harris,75,75.0,75
B-25295,2025,528,Office Supplies,Miami,2024-01-28,Florida,Paul Rogers,76,76.0,76
B-25295,6800,167,Office Supplies,Miami,2024-01-28,Florida,Paul Rogers,77,77.0,77
B-26121,1126,55,Furniture,Tampa,2022-01-16,Florida,Jon Banks,78,78.0,78
B-26121,1126,55,Furniture,Buffalo,2022-12-16,New York,Michelle Williams,79,79.0,79
B-25560,7533,3508,Furniture,San Diego,2023-07-13,California,Andrew Allen,80,80.0,80
B-25560,4734,1178,Office Supplies,San Diego,2023-07-13,California,Andrew Allen,81,81.0,81
B-25560,4074,1175,Electronics,San Diego,2023-07-13,California,Andrew Allen,82,82.0,82
B-25560,2334,484,Furniture,San Diego,2023-07-13,California,Andrew Allen,83,83.0,83
B-26076,2750,1239,Electronics,Buffalo,2025-03-10,New York,Vanessa Bauer,84,84.0,84
B-26076,2750,1239,Electronics,Cleveland,2024-09-24,Ohio,Sean Smith,85,85.0,85
B-26076,8639,3104,Office Supplies,Buffalo,2025-03-10,New York,Vanessa Bauer,86,86.0,86
B-26076,8639,3104,Office Supplies,Cleveland,2024-09-24,Ohio,Sean Smith,87,87.0,87
B-25872,3808,1192,Office Supplies,New York City,2020-04-13,New York,Shelly Sweeney,88,88.0,88
B-25872,2588,705,Office Supplies,New York City,2020-04-13,New York,Shelly Sweeney,89,89.0,89
B-26185,1591,727,Electronics,Springfield,2022-06-27,Illinois,Emily Gill,90,90.0,90
B-26185,1591,727,Electronics,Tampa,2021-03-14,Florida,Brian Patrick,91,91.0,91
B-26185,1591,727,Electronics,Cincinnati,2022-02-23,Ohio,Dr. Sarah Booth,92,92.0,92
B-26259,1757,622,Furniture,Cleveland,2022-03-29,Ohio,Douglas Mcfarland,93,93.0,93
B-26259,1757,622,Furniture,Peoria,2022-11-20,Illinois,Kayla Ross,94,94.0,94
B-25142,6940,253,Furniture,Orlando,2021-11-12,Florida,Marc Strickland,95,95.0,95
B-25142,5105,465,Electronics,Orlando,2021-11-12,Florida,Marc Strickland,96,96.0,96
B-25326,5578,277,Furniture,Miami,2021-08-17,Florida,Charlene Brown,97,97.0,97
B-25326,5578,277,Furniture,Columbus,2022-05-16,Ohio,Charles Smith,98,98.0,98
B-26795,5224,1958,Furniture,Houston,2023-07-16,Texas,Karen Townsend,99,99.0,99
B-26795,5002,1801,Office Supplies,Houston,2023-07-16,Texas,Karen Townsend,100,100.0,100
B-26795,7380,1673,Office Supplies,Houston,2023-07-16,Texas,Karen Townsend,101,101.0,101
B-25660,7595,2873,Furniture,Los Angeles,2020-08-18,California,Steven Cox,102,102.0,102
B-25660,7595,2873,Furniture,Rochester,2022-04-19,New York,Cynthia Rodriguez,103,103.0,103
B-25410,1954,294,Furniture,Austin,2022-12-23,Texas,Jessica Baker,104,104.0,104
B-25690,523,95,Electronics,Dallas,2024-12-07,Texas,Mark Blackburn,105,105.0,105
B-26464,5704,714,Electronics,Austin,2022-02-03,Texas,Zachary Perez,106,106.0,106
B-26464,5704,714,Electronics,San Diego,2021-12-12,California,Brian Green,107,107.0,107
B-26464,8797,1010,Furniture,Austin,2022-02-03,Texas,Zachary Perez,108,108.0,108
B-26464,8797,1010,Furniture,San Diego,2021-12-12,California,Brian Green,109,109.0,109
B-26464,9236,2899,Electronics,Austin,2022-02-03,Texas,Zachary Perez,110,110.0,110
B-26464,9236,2899,Electronics,San Diego,2021-12-12,California,Brian Green,111,111.0,111
B-26454,9109,586,Furniture,Miami,2020-05-17,Florida,Becky Leach,112,112.0,112
B-26742,4358,526,Electronics,Dallas,2022-12-05,Texas,Bryan Russell,113,113.0,113
B-26742,4358,526,Electronics,San Francisco,2024-09-17,California,Tony Maddox,114,114.0,114
B-26742,6459,825,Electronics,Dallas,2022-12-05,Texas,Bryan Russell,115,115.0,115
B-26742,6459,825,Electronics,San Francisco,2024-09-17,California,Tony Maddox,116,116.0,116
B-25510,2478,92,Furniture,San Francisco,2023-05-08,California,Jason Randolph,117,117.0,117
B-25510,2478,92,Furniture,New York City,2021-03-03,New York,Laura Andrews,118,118.0,118
B-25510,2478,92,Furniture,San Francisco,2021-03-18,California,Mrs. Stephanie Hooper,119,119.0,119
B-25510,2478,92,Furniture,Cleveland,2023-04-24,Ohio,Anthony Evans,120,120.0,120
B-25936,9992,3696,Office Supplies,Rochester,2021-10-09,New York,Patrick Williams,121,121.0,121
B-25936,9992,3696,Office Supplies,Austin,2022-04-15,Texas,Susan Burke,122,122.0,122
B-25936,9992,3696,Office Supplies,Rochester,2022-08-29,New York,Brent Hernandez,123,123.0,123
B-25936,9619,3420,Office Supplies,Rochester,2021-10-09,New York,Patrick Williams,124,124.0,124
B-25936,9619,3420,Office Supplies,Austin,2022-04-15,Texas,Susan Burke,125,125.0,125
B-25936,9619,3420,Office Supplies,Rochester,2022-08-29,New York,Brent Hernandez,126,126.0,126
B-25884,9538,3158,Electronics,San Francisco,2024-09-04,California,Sean Elliott,127,127.0,127
B-25884,9538,3158,Electronics,Cleveland,2021-05-18,Ohio,Wanda West,128,128.0,128
B-25884,9035,1227,Furniture,San Francisco,2024-09-04,California,Sean Elliott,129,129.0,129
B-25884,9035,1227,Furniture,Cleveland,2021-05-18,Ohio,Wanda West,130,130.0,130
B-26287,2684,670,Office Supplies,Tampa,2024-07-02,Florida,Renee Solomon,131,131.0,131
B-26287,822,147,Furniture,Tampa,2024-07-02,Florida,Renee Solomon,132,132.0,132
B-26287,9730,2341,Furniture,Tampa,2024-07-02,Florida,Renee Solomon,133,133.0,133
B-26287,2483,236,Electronics,Tampa,2024-07-02,Florida,Renee Solomon,134,134.0,134
B-26564,1297,600,Office Supplies,Orlando,2024-02-16,Florida,Daryl Miles,135,135.0,135
B-26564,7909,1942,Electronics,Orlando,2024-02-16,Florida,Daryl Miles,136,136.0,136
B-26293,9768,4518,Furniture,Dallas,2021-11-26,Texas,Michael Hunt,137,137.0,137
B-26293,4968,934,Furniture,Dallas,2021-11-26,Texas,Michael Hunt,138,138.0,138
B-26293,1731,149,Electronics,Dallas,2021-11-26,Texas,Michael Hunt,139,139.0,139
B-25915,3433,1169,Office Supplies,San Francisco,2024-02-01,California,Adam Clark,140,140.0,140
B-25915,3433,1169,Office Supplies,Springfield,2021-09-09,Illinois,Amy Olsen,141,141.0,141
B-25915,3433,1169,Office Supplies,San Diego,2021-09-08,California,Stacey Miller,142,142.0,142
B-25915,3887,1490,Office Supplies,San Francisco,2024-02-01,California,Adam Clark,143,143.0,143
B-25915,3887,1490,Office Supplies,Springfield,2021-09-09,Illinois,Amy Olsen,144,144.0,144
B-25915,3887,1490,Office Supplies,San Diego,2021-09-08,California,Stacey Miller,145,145.0,145
B-26496,1801,641,Office Supplies,Los Angeles,2024-07-09,California,Daniel Mosley,146,146.0,146
B-26496,5301,817,Furniture,Los Angeles,2024-07-09,California,Daniel Mosley,147,147.0,147
B-26496,1166,520,Office Supplies,Los Angeles,2024-07-09,California,Daniel Mosley,148,148.0,148
B-26496,3196,1411,Office Supplies,Los Angeles,2024-07-09,California,Daniel Mosley,149,149.0,149
B-25856,3428,350,Furniture,Springfield,2023-02-28,Illinois,Monica Gibson,150,150.0,150
B-25856,7223,2433,Office Supplies,Springfield,2023-02-28,Illinois,Monica Gibson,151,151.0,151
B-25856,3731,647,Office Supplies,Springfield,2023-02-28,Illinois,Monica Gibson,152,152.0,152
B-26899,8903,4401,Office Supplies,Columbus,2022-08-08,Ohio,Christopher Jordan,153,153.0,153
B-25916,6009,2107,Electronics,Chicago,2022-12-07,Illinois,Christina Davis,154,154.0,154
B-25916,6009,2107,Electronics,Austin,2024-04-29,Texas,Claudia Curry,155,155.0,155
B-25916,2858,230,Furniture,Chicago,2022-12-07,Illinois,Christina Davis,156,156.0,156
B-25916,2858,230,Furniture,Austin,2024-04-29,Texas,Claudia Curry,157,157.0,157
B-25916,8175,525,Furniture,Chicago,2022-12-07,Illinois,Christina Davis,158,158.0,158
B-25916,8175,525,Furniture,Austin,2024-04-29,Texas,Claudia Curry,159,159.0,159
B-25916,5846,586,Furniture,Chicago,2022-12-07,Illinois,Christina Davis,160,160.0,160
B-25916,5846,586,Furniture,Austin,2024-04-29,Texas,Claudia Curry,161,161.0,161
B-26428,706,197,Electronics,Austin,2022-01-02,Texas,Brandon Anderson,162,162.0,162
B-26332,9835,2571,Furniture,Dallas,2022-06-10,Texas,George Foster,163,163.0,163
B-26332,9835,2571,Furniture,Orlando,2021-11-16,Florida,Nicholas Anderson,164,164.0,164
B-26332,9835,2571,Furniture,Los Angeles,2022-08-17,California,Emily Ellison,165,165.0,165
B-26332,9691,3056,Office Supplies,Dallas,2022-06-10,Texas,George Foster,166,166.0,166
B-26332,9691,3056,Office Supplies,Orlando,2021-11-16,Florida,Nicholas Anderson,167,167.0,167
B-26332,9691,3056,Office Supplies,Los Angeles,2022-08-17,California,Emily Ellison,168,168.0,168
B-26332,7826,1221,Furniture,Dallas,2022-06-10,Texas,George Foster,169,169.0,169
B-26332,7826,1221,Furniture,Orlando,2021-11-16,Florida,Nicholas Anderson,170,170.0,170
B-26332,7826,1221,Furniture,Los Angeles,2022-08-17,California,Emily Ellison,171,171.0,171
B-25303,770,241,Furniture,Austin,2021-11-23,Texas,Darren Perez,172,172.0,172
B-25303,770,241,Furniture,Cincinnati,2023-03-04,Ohio,Michelle Hunter,173,173.0,173
B-26507,9895,1598,Furniture,Rochester,2023-12-16,New York,Janet Guerrero,174,174.0,174
B-25983,6517,1581,Office Supplies,Miami,2024-05-19,Florida,Jeffrey Kline,175,175.0,175
B-25983,6517,1581,Office Supplies,Tampa,2020-05-14,Florida,Ryan Bullock,176,176.0,176
B-25983,1166,349,Furniture,Miami,2024-05-19,Florida,Jeffrey Kline,177,177.0,177
B-25983,1166,349,Furniture,Tampa,2020-05-14,Florida,Ryan Bullock,178,178.0,178
B-25156,9820,793,Furniture,Buffalo,2021-08-29,New York,Tom Lawson,179,179.0,179
B-26759,8563,2624,Office Supplies,Dallas,2024-11-10,Texas,Rebecca Smith,180,180.0,180
B-26759,4441,281,Electronics,Dallas,2024-11-10,Texas,Rebecca Smith,181,181.0,181
B-26244,7340,2271,Office Supplies,Orlando,2021-12-05,Florida,William Welch,182,182.0,182
B-26244,5442,1610,Electronics,Orlando,2021-12-05,Florida,William Welch,183,183.0,183
B-26365,1895,391,Furniture,Tampa,2024-07-05,Florida,Mr. Curtis Bailey,184,184.0,184
B-26365,5323,322,Office Supplies,Tampa,2024-07-05,Florida,Mr. Curtis Bailey,185,185.0,185
B-26212,8850,279,Office Supplies,Miami,2024-06-25,Florida,Janet Carlson,186,186.0,186
B-26212,8667,1266,Office Supplies,Miami,2024-06-25,Florida,Janet Carlson,187,187.0,187
B-25042,6903,105,Furniture,Chicago,2024-05-31,Illinois,Spencer Spears,188,188.0,188
B-25042,8793,3010,Office Supplies,Chicago,2024-05-31,Illinois,Spencer Spears,189,189.0,189
B-25901,9883,4812,Office Supplies,Buffalo,2020-10-20,New York,Jeffrey Middleton,190,190.0,190
B-25901,9883,4812,Office Supplies,Orlando,2022-08-11,Florida,Veronica Kelley,191,191.0,191
B-25901,9883,4812,Office Supplies,Springfield,2021-10-17,Illinois,Leslie Bean,192,192.0,192
B-25901,5210,1185,Office Supplies,Buffalo,2020-10-20,New York,Jeffrey Middleton,193,193.0,193
B-25901,5210,1185,Office Supplies,Orlando,2022-08-11,Florida,Veronica Kelley,194,194.0,194
B-25901,5210,1185,Office Supplies,Springfield,2021-10-17,Illinois,Leslie Bean,195,195.0,195
B-26747,3574,851,Electronics,Los Angeles,2022-02-23,California,Amy Wilson,196,196.0,196
B-26747,576,76,Furniture,Los Angeles,2022-02-23,California,Amy Wilson,197,197.0,197
B-26698,1860,457,Electronics,Cleveland,2023-09-20,Ohio,Susan Ramirez,198,198.0,198
B-25841,782,374,Office Supplies,Peoria,2021-01-19,Illinois,Jacob Meyer,199,199.0,199
B-25841,4371,1852,Electronics,Peoria,2021-01-19,Illinois,Jacob Meyer,200,200.0,200
B-26032,8346,1176,Electronics,Houston,2020-08-21,Texas,Scott Lewis,201,201.0,201
B-26032,8346,1176,Electronics,Chicago,2023-04-17,Illinois,Eric Griffith,202,202.0,202
B-26032,8346,1176,Electronics,San Francisco,2023-12-24,California,Anna Ferguson,203,203.0,203
B-26032,6218,1125,Furniture,Houston,2020-08-21,Texas,Scott Lewis,204,204.0,204
B-26032,6218,1125,Furniture,Chicago,2023-04-17,Illinois,Eric Griffith,205,205.0,205
B-26032,6218,1125,Furniture,San Francisco,2023-12-24,California,Anna Ferguson,206,206.0,206
B-26032,5167,253,Electronics,Houston,2020-08-21,Texas,Scott Lewis,207,207.0,207
B-26032,5167,253,Electronics,Chicago,2023-04-17,Illinois,Eric Griffith,208,208.0,208
B-26032,5167,253,Electronics,San Francisco,2023-12-24,California,Anna Ferguson,209,209.0,209
B-26032,2799,1239,Furniture,Houston,2020-08-21,Texas,Scott Lewis,210,210.0,210
B-26032,2799,1239,Furniture,Chicago,2023-04-17,Illinois,Eric Griffith,211,211.0,211
B-26032,2799,1239,Furniture,San Francisco,2023-12-24,California,Anna Ferguson,212,212.0,212
B-25171,3234,1029,Office Supplies,Miami,2022-03-20,Florida,David Figueroa,213,213.0,213
B-26939,4920,775,Furniture,Springfield,2021-08-12,Illinois,Theresa Medina,214,214.0,214
B-26939,9078,2213,Furniture,Springfield,2021-08-12,Illinois,Theresa Medina,215,215.0,215
B-26347,8586,3826,Furniture,Miami,2020-12-21,Florida,Mary Smith,216,216.0,216
B-26347,8586,3826,Furniture,Tampa,2023-07-07,Florida,Lance Cain,217,217.0,217
B-25388,5047,2211,Furniture,San Francisco,2023-08-13,California,Alexandra Moran,218,218.0,218
B-25388,5047,2211,Furniture,Chicago,2021-02-04,Illinois,Sara Castro,219,219.0,219
B-25388,5047,2211,Furniture,Peoria,2022-09-16,Illinois,Shawn Leach,220,220.0,220
B-25388,5047,2211,Furniture,Buffalo,2022-05-06,New York,Mark Boyle,221,221.0,221
B-26419,3657,163,Furniture,San Francisco,2021-05-28,California,John Stevens,222,222.0,222
B-25157,6471,2842,Electronics,Peoria,2024-07-18,Illinois,Lisa Graham,223,223.0,223
B-25342,949,301,Office Supplies,Cleveland,2024-12-06,Ohio,Nancy Jones,224,224.0,224
B-25342,6823,771,Office Supplies,Cleveland,2024-12-06,Ohio,Nancy Jones,225,225.0,225
B-25342,4364,831,Furniture,Cleveland,2024-12-06,Ohio,Nancy Jones,226,226.0,226
B-26165,6671,2797,Electronics,Peoria,2022-12-12,Illinois,Darryl Robbins,227,227.0,227
B-26571,7472,1037,Office Supplies,Springfield,2022-10-20,Illinois,Kimberly Smith,228,228.0,228
B-26571,9548,1806,Electronics,Springfield,2022-10-20,Illinois,Kimberly Smith,229,229.0,229
B-25400,7759,3741,Electronics,Miami,2021-03-24,Florida,Maria Thomas,230,230.0,230
B-25400,7759,3741,Electronics,Dallas,2025-01-06,Texas,Nicholas Johnson,231,231.0,231
B-25400,7521,3457,Office Supplies,Miami,2021-03-24,Florida,Maria Thomas,232,232.0,232
B-25400,7521,3457,Office Supplies,Dallas,2025-01-06,Texas,Nicholas Johnson,233,233.0,233
B-25885,9704,4339,Office Supplies,Houston,2021-03-06,Texas,Dawn Howard,234,234.0,234
B-25885,4948,2356,Electronics,Houston,2021-03-06,Texas,Dawn Howard,235,235.0,235
B-25885,6435,334,Electronics,Houston,2021-03-06,Texas,Dawn Howard,236,236.0,236
B-25004,9965,3033,Office Supplies,San Francisco,2020-06-17,California,Jennifer Marshall,237,237.0,237
B-25004,9965,3033,Office Supplies,Buffalo,2023-09-01,New York,Frank Garcia,238,238.0,238
B-26213,1523,234,Furniture,Rochester,2023-06-08,New York,Terri Madden,239,239.0,239
B-26213,9073,424,Electronics,Rochester,2023-06-08,New York,Terri Madden,240,240.0,240
B-25025,6447,3079,Electronics,Rochester,2021-03-25,New York,James Gutierrez,241,241.0,241
B-25025,8947,2807,Electronics,Rochester,2021-03-25,New York,James Gutierrez,242,242.0,242
B-26804,914,400,Office Supplies,Los Angeles,2021-01-03,California,Morgan Sellers,243,243.0,243
B-26804,1548,666,Office Supplies,Los Angeles,2021-01-03,California,Morgan Sellers,244,244.0,244
B-26797,2759,1149,Furniture,New York City,2024-12-27,New York,Caitlin Thomas,245,245.0,245
B-26556,1341,615,Electronics,Orlando,2022-08-12,Florida,Kimberly Greene,246,246.0,246
B-25861,9851,2669,Electronics,Cleveland,2022-03-28,Ohio,Tammy Anthony,247,247.0,247
B-25861,9851,2669,Electronics,Buffalo,2023-07-15,New York,Jennifer Chase,248,248.0,248
B-25861,9851,2669,Electronics,Orlando,2022-09-22,Florida,Cassandra Farley,249,249.0,249
B-25861,9989,3930,Furniture,Cleveland,2022-03-28,Ohio,Tammy Anthony,250,250.0,250
B-25861,9989,3930,Furniture,Buffalo,2023-07-15,New York,Jennifer Chase,251,251.0,251
B-25861,9989,3930,Furniture,Orlando,2022-09-22,Florida,Cassandra Farley,252,252.0,252
B-25112,7421,958,Furniture,Houston,2022-12-20,Texas,Justin Vasquez,253,253.0,253
B-25112,7421,958,Furniture,Houston,2022-01-16,Texas,Melissa Morales,254,254.0,254
B-25112,7421,958,Furniture,Dallas,2023-01-29,Texas,Tyler Thompson,255,255.0,255
B-25223,3099,479,Office Supplies,Buffalo,2022-01-15,New York,Heidi Davis,256,256.0,256
B-25223,2521,906,Electronics,Buffalo,2022-01-15,New York,Heidi Davis,257,257.0,257
B-25714,6962,3429,Electronics,Dallas,2024-03-24,Texas,Charles Lane,258,258.0,258
B-25714,6962,3429,Electronics,Miami,2025-02-19,Florida,Joyce Good MD,259,259.0,259
B-26607,1085,301,Furniture,Buffalo,2024-07-13,New York,Maria Miller,260,260.0,260
B-25038,738,342,Furniture,Cincinnati,2023-04-28,Ohio,Terry Mcdaniel,261,261.0,261
B-25038,738,342,Furniture,Buffalo,2020-12-05,New York,Lisa Jacobs,262,262.0,262
B-25038,738,342,Furniture,Cincinnati,2024-05-14,Ohio,Jeff Duncan,263,263.0,263
B-25038,738,342,Furniture,New York City,2022-01-18,New York,Pamela Jones,264,264.0,264
B-26672,1366,242,Electronics,Columbus,2023-09-18,Ohio,Renee Robinson,265,265.0,265
B-26672,1518,155,Office Supplies,Columbus,2023-09-18,Ohio,Renee Robinson,266,266.0,266
B-25747,2962,1470,Electronics,Buffalo,2021-05-12,New York,Jessica Kidd,267,267.0,267
B-25747,2962,1470,Electronics,Tampa,2023-09-17,Florida,Nicholas Martin,268,268.0,268
B-25747,7131,718,Electronics,Buffalo,2021-05-12,New York,Jessica Kidd,269,269.0,269
B-25747,7131,718,Electronics,Tampa,2023-09-17,Florida,Nicholas Martin,270,270.0,270
B-25747,4200,855,Office Supplies,Buffalo,2021-05-12,New York,Jessica Kidd,271,271.0,271
B-25747,4200,855,Office Supplies,Tampa,2023-09-17,Florida,Nicholas Martin,272,272.0,272
B-26322,5934,1563,Office Supplies,Peoria,2024-09-06,Illinois,David Brown,273,273.0,273
B-26613,2701,322,Electronics,New York City,2022-06-18,New York,Amber Moore,274,274.0,274
B-26613,7273,2702,Office Supplies,New York City,2022-06-18,New York,Amber Moore,275,275.0,275
B-25413,2465,699,Office Supplies,San Francisco,2020-05-22,California,James Williams,276,276.0,276
B-26466,3479,1087,Office Supplies,Dallas,2024-10-17,Texas,Karina Barr,277,277.0,277
B-26466,5457,1765,Electronics,Dallas,2024-10-17,Texas,Karina Barr,278,278.0,278
B-26610,4957,1152,Office Supplies,Cleveland,2022-03-22,Ohio,Meghan Rush,279,279.0,279
B-26209,4404,858,Office Supplies,Columbus,2024-03-17,Ohio,Bianca Brown,280,280.0,280
B-26209,8776,2529,Furniture,Columbus,2024-03-17,Ohio,Bianca Brown,281,281.0,281
B-26622,9536,1437,Electronics,Orlando,2020-04-02,Florida,Timothy Jensen,282,282.0,282
B-26622,2225,589,Furniture,Orlando,2020-04-02,Florida,Timothy Jensen,283,283.0,283
B-26601,9574,4045,Furniture,San Francisco,2024-03-13,California,Melinda Montoya,284,284.0,284
B-26601,4382,482,Electronics,San Francisco,2024-03-13,California,Melinda Montoya,285,285.0,285
B-25894,8200,257,Electronics,Cincinnati,2023-03-21,Ohio,Tammy Bell,286,286.0,286
B-25894,9316,3003,Furniture,Cincinnati,2023-03-21,Ohio,Tammy Bell,287,287.0,287
